_id,activityHotness,hotness,primaryCategory,publishedAt,sourceDomain,title,words
5f0cda340b40f100190f8796,0.42144661163795005,73828.03177068572,Exchanges,2020-07-13T21:39:43.000Z,cryptopolitan.com,"Bank of England exploring UK cryptocurrency, says governor Andrew Bailey",365
5f0cc5ab0b40f100190ef026,0.24655675420143988,73827.58044564308,Analysis,2020-07-13T20:00:12.000Z,newsbtc.com,It’s Now Or Never For XRP As Technical Indicators Highlight Pivotal Moment,375
5f0cc4a80b40f100190eef95,0.24398351280479208,73827.47412240169,General,2020-07-13T19:22:51.000Z,tokenhell.com,Bitcoin Long Term Bullish Signal Confirms; Adoption is the Major...,448
5f0cda390b40f100190f87a0,0.1598836501088704,73827.22085587234,General,2020-07-13T18:21:57.000Z,cryptopolitan.com,Institutional crypto traders: Huobi explains what’s driving up interest,221
5f0caa120b40f100190e1948,0.2684545384920906,73827.03322305702,General,2020-07-13T16:35:19.000Z,coindesk.com,Blockchain Bites: It's Never Been Harder to Mine Bitcoin - CoinDesk,1305
5f0ca4590b40f100190de6bd,0.16678293725756554,73826.91780145578,Analysis,2020-07-13T16:30:22.000Z,cryptopolitan.com,"Ripple price spikes, will buyers clear $0.25?",367
5f0c90060b40f100190d2ed9,0.2749199854809259,73826.85871628179,General,2020-07-13T15:30:10.000Z,news.bitcoin.com,Covid-19 Forces Indians to Embrace Digital Payments but Country Still Lacks Crypto Regulation,2539
5f0c6fd20b40f100190bfccb,0.1770108221696074,73826.50270526661,Analysis,2020-07-13T13:57:15.000Z,cryptopotato.com,"Ripple Price Analysis: Following 10% Weekly Gains, XRP Bulls Battling to Defend An Important Support",525
5f0c6a2a0b40f100190bd34a,0.16575200029167944,73826.41028903733,General,2020-07-13T13:28:02.000Z,newslogical.com,Ripple Founder Chris Larsen Moves Against Theft in San Francisco with $4 Million,462
5f0c4aeb0b40f100190ab839,0.21314021114911005,73826.0689272482,General,2020-07-13T11:08:05.000Z,coinpedia.org,Ripple and Vechain Partnering via SBI Holdings- Is it True?,528
5f0c33720b40f1001909f6a0,0.21184149159642895,73825.7141563064,General,2020-07-13T09:00:50.000Z,btcmanager.com,"Bitcoin, Ether, and XRP Weekly Market Update July 13, 2020",975
5f0c333e0b40f1001909f68c,0.2425515074273172,73825.6617181741,General,2020-07-13T08:30:54.000Z,financemagnates.com,Cardano (ADA) Users Targeted as Latest in Series of Youtube ‘Giveaway’ Scams,382
5f0c02df0b40f1001908a189,0.17884573603642703,73825.2130124027,Analysis,2020-07-13T06:12:18.000Z,cryptogazette.com,Ripple Makes Efforts To Scale XRP Payment Products On A Global Scale,313
5f0bf22c0b40f10019081a19,0.17178397931503167,73824.95511731265,General,2020-07-13T04:42:00.000Z,cointelegraph.com,"Japanese Residents Have Cash to Spare, But is it Going into Crypto?",316
5f0bdbbe0b40f10019075eb5,0.1841567185678219,73824.69674931116,Analysis,2020-07-13T03:04:32.000Z,coingape.com,Ripple Price Pivotal At $0.20 As Reversal To $0.19 Lingers,307
5f0bb99a0b40f10019066b0a,0.17178397931503167,73824.15798768302,Analysis,2020-07-12T23:55:02.000Z,kryptomoney.com,XRP Price Analysis: Buyers Bolster XRP/USD Upside Bias Past $0.20 Following Ripple Extension of XRP Payment Worldwide,492
5f0b3a410b40f10019024e54,0.18372475245337025,73822.76955808578,General,2020-07-12T15:30:54.000Z,decrypt.co,Why Ripple founder is building a surveillance network in San Francisco,387
5f0b2a300b40f1001901cb9b,0.3043814364036685,73822.80493699196,Government,2020-07-12T15:00:12.000Z,coindoo.com,Top Web Hosting Services That Accept Payments in Cryptocurrencies,960
5f0bc3720b40f1001906a4da,0.28484548129046006,73822.78540103685,Government,2020-07-12T15:00:12.000Z,coindoo.com,Top Web Hosting Services That Accept Payments in Cryptocurrencies,960
5f0b21680b40f100190174db,0.18919980393051106,73822.63419980394,General,2020-07-12T14:40:12.000Z,cryptopolitan.com,Ripple payment platform to expand into new countries,308
5f0b0e6f0b40f1001900cb82,0.17080357930536963,73821.93797950524,Exchanges,2020-07-12T10:36:11.000Z,tokenhell.com,"Central Bank Digital Currency is the Need of the Hour, but Privacy is the major...",372
5f0ad2060b40f10019ff02d5,0.23402504226184836,73821.61962689411,ICO,2020-07-12T08:18:49.000Z,cryptoslate.com,Cardano (ADA) founder Charles Hoskinson blasts YouTube over crypto scams,584
5f0abdfb0b40f10019fe7b02,0.2595338988054599,73821.5182376025,Exchanges,2020-07-12T07:33:08.000Z,tokenhell.com,"Due to COVID-19, Bitcoin Holdings in Japanese Exchanges Have Witnessed a Sharp...",391
5f0a51440b40f10019fb2268,0.21755733298042382,73820.05260362927,Analysis,2020-07-11T23:00:37.000Z,newsbtc.com,XRP Rally Risks Strong Retracement in Pivotal Battle With Bitcoin,497
5f0a391d0b40f10019fa7240,0.2141033004552062,73819.88220515232,Analysis,2020-07-11T22:00:31.000Z,bitcoinist.com,"Last Time This Signal Appeared, XRP Dove 35% Against Bitcoin. It’s Back",518
5f0a3a5f0b40f10019fa7b48,0.20331844833456547,73819.81137400388,General,2020-07-11T21:38:54.000Z,coininsider.com,Bitcoin Holdings Explode In Japanese Exhanges Since COVID Outbreak,378
5f0a3a930b40f10019fa7b62,0.18241754429663495,73819.62334347023,General,2020-07-11T20:38:44.000Z,zycrypto.com,Binance CEO CZ Reacts After Appearing in Latest YouTube Bitcoin Giveaway Scam,556
5f09f3190b40f10019f814f6,0.18796267475025638,73819.05314785994,Analysis,2020-07-11T17:11:28.000Z,insidebitcoins.com,Ripple Price Prediction: XRP/USD Faces Down After the Price Hit $0.206 Level,356
5f09f72b0b40f10019f844d7,0.2924248652274134,73819.04497116152,General,2020-07-11T16:30:55.000Z,news.bitcoin.com,‘Fiat and Money Printing’ Street Mural Earns $500 in Bitcoin Donations in Five Days,2037
5f09b0e90b40f10019f5c379,0.29169226121820613,73818.11146077974,General,2020-07-11T10:55:07.000Z,news.bitcoin.com,Bitcoin Prize For Winners Of South Africa Mountain Bike Race,2069
5f098eeb0b40f10019f4d41a,0.1887891257352457,73817.8141594961,Blockchain,2020-07-11T09:45:08.000Z,newslogical.com,Santander’s Customers Forced Us into Finding Ripple – One Pay FX CTO,462
5f0977900b40f10019f42578,0.19321640810304452,73817.32381825996,Exchanges,2020-07-11T06:47:01.000Z,cryptogazette.com,Santander Plans To Expand Use Of Ripple Payments Platform,325
5f0904620b40f10019f09d9f,0.2547562508716013,73816.2569321768,General,2020-07-11T00:00:47.000Z,newsbtc.com,"Crypto Tidbits: TikTok’s Dogecoin Craze, Coinbase on Stock Markets, Bitcoin Holds $9k",734
5f08fc5a0b40f10019f05d7b,0.2504077396776274,73816.0913336656,General,2020-07-10T23:02:44.000Z,kryptomoney.com,"Despite Bitcoin Lacklustre Performance, Stellar (XLM) Surges Past $0.095 Setting Yearly High but This Anomaly Surfaces",423
5f08cf8d0b40f10019ef022d,0.20952733874025953,73815.56836993134,Analysis,2020-07-10T20:09:11.000Z,koinpost.com,XRP News Today: Ripple Cofounder Gets Thousand Cameras Installed Around San Francisco Streets,201
5f08ca800b40f10019eedb26,0.1887891257352457,73815.47624282943,General,2020-07-10T19:43:29.000Z,kryptomoney.com,Banco Santander to Expand Ripple’s Reach Further Than Current Presence In 19 Countries ,199
5f08c9a40b40f10019eed875,1.6904218150639885,73816.86421811135,ICO,2020-07-10T19:02:34.000Z,beincrypto.com,Santander Expands One Pay FX to 19 Countries With Ripple,388
5f08b5200b40f10019ee2dbd,0.31053529234643373,73815.31053529234,General,2020-07-10T18:00:00.000Z,cryptonews.com,"Bitcoin, Ethereum & Co Have Plenty of Room Left to Take Over TikTok",639
5f08b5bb0b40f10019ee3069,0.3069391205826335,73815.1316150465,Analysis,2020-07-10T16:56:53.000Z,cryptopotato.com,July Opens With Dull BTC Price Action Despite Stocks ATH: The Crypto Weekly Market Update,722
5f089f870b40f10019ed6d02,1.6985816794522766,73816.44024834612,General,2020-07-10T16:27:00.000Z,cointelegraph.com,One of Ripple’s Co-Founders Is Spending a Fortune Installing Cameras in San Francisco,329
5f089a410b40f10019ed3cb4,0.19969486348916096,73814.90557449312,Analysis,2020-07-10T16:14:07.000Z,thecurrencyanalytics.com,Ripple (XRP) Price Rally Not able to Work Past $0.20 Ranges Everyone Walking China Crawling,431
5f0886fb0b40f10019ec8524,3.207158361628019,73817.75280650979,Analysis,2020-07-10T15:16:26.000Z,zycrypto.com,Ripple CTO David Schwartz Criticizes Bitcoin For Not Being Eco-Friendly Like XRP,566
5f0881240b40f10019ec547e,0.27404661748405046,73814.75358365453,Analysis,2020-07-10T14:52:38.000Z,cryptopotato.com,"Crypto Price Analysis & Overview July 10: Bitcoin, Ethereum, Ripple, Cardano,and Doge",1257
5f084e860b40f10019ea9cd7,0.19820784724121582,73814.07806895835,General,2020-07-10T11:16:45.000Z,tokenhell.com,Spain’s Multinational Bank to offer Global Payments in 19 more Countries by using Ripple’s Payment...,385
5f08437f0b40f10019ea59d3,0.26094379124341005,73813.9277493468,Analysis,2020-07-10T10:00:03.000Z,eng.ambcrypto.com,"Litecoin, EOS, BAT Price Analysis: 10 July",488
5f083f130b40f10019ea324a,0.1908258560176891,73813.85749252269,ICO,2020-07-10T10:00:00.000Z,coindesk.com,Crypto 'Giveaway' Scams Continue to Flourish on YouTube - CoinDesk,269
5f0849d50b40f10019ea6cf2,0.22947271675944003,73813.88387086491,General,2020-07-10T09:55:35.000Z,coinpedia.org,Ripple Price Plunges By 5% As Prices Slip Below $0.2,391
5f0823960b40f10019e974d6,3.1951657875711446,73816.49650838017,General,2020-07-10T07:48:29.000Z,coinspeaker.com,Banco Santander in Partnership with Ripple Expands Its Cross-Border...,523
